Hospital_ID,Hospital_Name,Ownership,Facility_Type,State,District,Taluk,Latitude,Longitude,Total_Beds,ICU_Beds,Oxygen_Beds,Ventilators,Emergency_Services,Ambulances,Primary_Specialization,Specializations_List,Contact_Number,Website
HSP0011,Srirangapatna Neurology Center 32,Private,Private Nursing Home,Karnataka,Mandya,Srirangapatna,14.512025,78.168226,181,6,4,10,No,0,Neurology,Urology;Pulmonology;Gastroenterology;Ophthalmology;ENT;Endocrinology;Cardiology;Neurology;OBG;General Medicine;Oncology;Pediatrics,+91-8316818468,www.srirangapatnahealth38.com
HSP0012,Bangarpet Nephrology Center 156,Private,CHC,Karnataka,Kolar,Bangarpet,14.143314,77.933769,26,8,3,8,Yes,3,Nephrology,Ophthalmology;Nephrology;Radiology;Gastroenterology;Cardiology,+91-9800578746,www.bangarpethealth5.com
HSP0013,Chintamani Oncology Center 92,Private,Private Nursing Home,Karnataka,Chikkaballapur,Chintamani,13.712081,76.352931,169,7,1,2,No,3,Oncology,Nephrology;Psychiatry;Dermatology;Oncology;Ophthalmology;ENT,+91-7303439130,www.chintamanihealth29.com
HSP0014,Srirangapatna Endocrinology Center 256,Government,Taluk Hospital,Karnataka,Mandya,Srirangapatna,15.048271,78.37933,119,15,8,6,Yes,1,Endocrinology,Oncology;Endocrinology;Nephrology;Radiology;Pulmonology;Neurology,+91-9979438476,www.srirangapatnahealth67.com
HSP0015,Bagepalli OBG Center 290,Trust,Taluk Hospital,Karnataka,Chikkaballapur,Bagepalli,14.68607,77.142541,248,4,27,1,No,0,OBG,OBG;Gastroenterology;Pulmonology;Urology;Psychiatry;Neurology,+91-8409224772,www.bagepallihealth38.com
HSP0016,Gudibande General Surgery Center 174,Private,Taluk Hospital,Karnataka,Chikkaballapur,Gudibande,13.72624,76.551325,225,1,8,5,Yes,2,General Surgery,Ophthalmology;Urology;Orthopedics;Dermatology;Neurology;General Surgery;General Medicine;Oncology;Cardiology;ENT;Pulmonology,+91-8539021377,www.gudibandehealth98.com
HSP0017,Malur OBG Center 172,Private,PHC,Karnataka,Kolar,Malur,15.559487,75.980715,69,14,20,6,No,1,OBG,OBG;Nephrology;Oncology;Urology;Psychiatry,+91-9743158551,www.malurhealth30.com
HSP0018,Arsikere General Surgery Center 136,Trust,CHC,Karnataka,Hassan,Arsikere,13.590375,77.15993,178,1,40,0,Yes,2,General Surgery,Gastroenterology;General Surgery;General Medicine;OBG;Dermatology;Endocrinology;Radiology,+91-7039566323,www.arsikerehealth51.com
HSP0019,Arsikere Radiology Center 81,Private,CHC,Karnataka,Hassan,Arsikere,15.255418,77.173076,117,11,23,8,No,2,Radiology,Radiology;Neurology;Pediatrics;Nephrology;General Surgery;Endocrinology,+91-8967226156,www.arsikerehealth59.com
HSP0020,Harihara OBG Center 197,Trust,PHC,Karnataka,Davangere,Harihara,13.136435,78.232708,274,4,20,2,No,3,OBG,Pulmonology;General Medicine;OBG;Orthopedics;Pediatrics;Ophthalmology;Gastroenterology;Dermatology,+91-8772784161,www.hariharahealth77.com
HSP0021,Holenarasipura Gastroenterology Center 214,Government,Private Nursing Home,Karnataka,Hassan,Holenarasipura,12.890738,76.867811,96,16,36,3,No,0,Gastroenterology,Oncology;Dermatology;Gastroenterology;ENT;Nephrology;Psychiatry;General Surgery,+91-7280793210,www.holenarasipurahealth84.com
HSP0022,Pandavapura Radiology Center 264,Trust,PHC,Karnataka,Mandya,Pandavapura,14.02191,77.460102,210,8,36,3,No,2,Radiology,Neurology;Orthopedics;Radiology;Dermatology;Oncology;Pulmonology;Nephrology;Cardiology;Endocrinology;General Surgery;Ophthalmology;Psychiatry,+91-8426299629,www.pandavapurahealth56.com
HSP0023,Gowribidanur OBG Center 43,Government,Multi-specialty Hospital,Karnataka,Chikkaballapur,Gowribidanur,12.013575,77.621083,234,7,34,5,Yes,1,OBG,Ophthalmology;Urology;ENT;Psychiatry;Cardiology;Radiology;General Medicine;OBG;Endocrinology,+91-7366892929,www.gowribidanurhealth50.com
HSP0024,Honnali Oncology Center 218,Government,PHC,Karnataka,Davangere,Honnali,12.488538,75.102034,246,7,12,8,Yes,0,Oncology,Oncology;ENT;Pulmonology;Cardiology;Dermatology;Urology;Ophthalmology;Endocrinology,+91-7672027575,www.honnalihealth54.com
HSP0025,Gowribidanur Ophthalmology Center 275,Government,PHC,Karnataka,Chikkaballapur,Gowribidanur,13.738421,77.406531,265,6,26,6,No,1,Ophthalmology,Pediatrics;Gastroenterology;Endocrinology;ENT;Ophthalmology,+91-7428564765,www.gowribidanurhealth88.com
HSP0026,Malur Radiology Center 254,Private,Taluk Hospital,Karnataka,Kolar,Malur,14.746904,77.185442,224,18,18,7,No,4,Radiology,ENT;Psychiatry;Dermatology;Radiology;General Medicine,+91-7366588764,www.malurhealth68.com
HSP0027,Holenarasipura General Surgery Center 149,Private,Private Nursing Home,Karnataka,Hassan,Holenarasipura,12.98006,75.73863,292,1,4,4,No,4,General Surgery,Pediatrics;OBG;General Surgery;Cardiology;Endocrinology;Radiology;Neurology;General Medicine;ENT,+91-8030006490,www.holenarasipurahealth97.com
HSP0028,Malavalli Gastroenterology Center 148,Government,Private Nursing Home,Karnataka,Mandya,Malavalli,13.646309,76.141987,94,14,37,6,No,0,Gastroenterology,Gastroenterology;Pediatrics;Dermatology;Neurology;Ophthalmology,+91-9589358941,www.malavallihealth13.com
HSP0029,Holenarasipura Nephrology Center 19,Trust,Taluk Hospital,Karnataka,Hassan,Holenarasipura,15.32411,77.077115,32,13,22,0,No,0,Nephrology,Gastroenterology;Psychiatry;Ophthalmology;Nephrology;General Surgery;Pulmonology,+91-7268101073,www.holenarasipurahealth34.com
HSP0030,Malavalli Endocrinology Center 98,Private,Multi-specialty Hospital,Karnataka,Mandya,Malavalli,13.904628,78.019437,36,10,17,3,No,5,Endocrinology,Oncology;Nephrology;General Medicine;Endocrinology;Urology,+91-9255999534,www.malavallihealth94.com
HSP0031,Holenarasipura Gastroenterology Center 72,Trust,Multi-specialty Hospital,Karnataka,Hassan,Holenarasipura,14.839051,76.654896,92,9,29,6,Yes,1,Gastroenterology,Pulmonology;Gastroenterology;Nephrology;Oncology;Psychiatry;General Medicine;OBG;Urology,+91-8339954093,www.holenarasipurahealth6.com
HSP0032,Kolar Taluk ENT Center 160,Government,PHC,Karnataka,Kolar,Kolar Taluk,12.195804,78.451516,100,4,23,0,Yes,2,ENT,Psychiatry;Pediatrics;Endocrinology;Ophthalmology;ENT,+91-7827189674,www.kolartalukhealth70.com
HSP0033,Maddur General Medicine Center 71,Trust,Taluk Hospital,Karnataka,Mandya,Maddur,15.025424,76.410751,168,18,36,8,Yes,3,General Medicine,Orthopedics;OBG;Endocrinology;Neurology;Dermatology;ENT;Psychiatry;Urology;General Medicine;Pediatrics;Pulmonology,+91-7635304264,www.maddurhealth31.com
HSP0034,Gudibande OBG Center 145,Government,Multi-specialty Hospital,Karnataka,Chikkaballapur,Gudibande,14.95848,78.234093,137,19,1,9,No,3,OBG,Neurology;General Surgery;ENT;Cardiology;Dermatology;OBG,+91-7831352940,www.gudibandehealth11.com
HSP0035,Maddur Pulmonology Center 195,Private,Multi-specialty Hospital,Karnataka,Mandya,Maddur,13.622123,76.39348,182,11,16,7,Yes,5,Pulmonology,Urology;ENT;Neurology;Orthopedics;Pulmonology;Cardiology;Nephrology;Endocrinology;Radiology,+91-8686257507,www.maddurhealth1.com
HSP0036,Arsikere Radiology Center 134,Private,Private Nursing Home,Karnataka,Hassan,Arsikere,12.623289,76.547699,211,15,14,1,Yes,0,Radiology,Psychiatry;Nephrology;Dermatology;General Surgery;ENT;Pediatrics;Orthopedics;Pulmonology;General Medicine;OBG;Gastroenterology;Radiology,+91-9802884721,www.arsikerehealth71.com
HSP0037,Malavalli Neurology Center 82,Trust,PHC,Karnataka,Mandya,Malavalli,13.497841,76.994775,185,10,22,3,Yes,1,Neurology,Neurology;OBG;Gastroenterology;Urology;Radiology;Endocrinology;General Medicine,+91-7475484385,www.malavallihealth44.com
HSP0038,Nyamathi Psychiatry Center 164,Government,Multi-specialty Hospital,Karnataka,Davangere,Nyamathi,15.030622,75.178821,233,15,26,9,No,0,Psychiatry,Pediatrics;Endocrinology;Dermatology;OBG;Psychiatry,+91-8641018576,www.nyamathihealth14.com
HSP0039,Chintamani Cardiology Center 144,Private,Private Nursing Home,Karnataka,Chikkaballapur,Chintamani,12.139751,77.631385,59,2,0,2,Yes,2,Cardiology,Cardiology;Pulmonology;Pediatrics;Neurology;OBG;Orthopedics;Gastroenterology,+91-8167296606,www.chintamanihealth86.com
HSP0040,Sakleshpur OBG Center 232,Trust,Taluk Hospital,Karnataka,Hassan,Sakleshpur,15.357951,76.96947,113,10,16,3,Yes,0,OBG,Nephrology;Cardiology;Orthopedics;Psychiatry;Urology;Endocrinology;OBG;Pediatrics,+91-7303312800,www.sakleshpurhealth32.com
HSP0041,Gudibande Psychiatry Center 131,Government,Multi-specialty Hospital,Karnataka,Chikkaballapur,Gudibande,12.517582,78.309242,32,11,33,8,No,1,Psychiatry,Endocrinology;ENT;Cardiology;Pediatrics;Dermatology;Oncology;Radiology;OBG;Nephrology;Psychiatry;Ophthalmology;Pulmonology,+91-9080917916,www.gudibandehealth95.com
HSP0042,Holenarasipura Pulmonology Center 232,Private,Taluk Hospital,Karnataka,Hassan,Holenarasipura,14.032889,76.554852,87,5,28,7,No,3,Pulmonology,Urology;ENT;Ophthalmology;Pulmonology;Radiology;General Medicine;Gastroenterology;Endocrinology;Pediatrics;Psychiatry,+91-7567401892,www.holenarasipurahealth55.com
HSP0043,Jagalur Neurology Center 136,Government,CHC,Karnataka,Davangere,Jagalur,12.351945,75.071964,62,10,20,2,Yes,5,Neurology,Gastroenterology;Dermatology;Cardiology;ENT;General Medicine;Nephrology;Neurology;Radiology;Urology,+91-7711178531,www.jagalurhealth17.com
HSP0044,Gudibande Urology Center 118,Trust,Private Nursing Home,Karnataka,Chikkaballapur,Gudibande,12.160839,75.982071,40,16,35,1,Yes,2,Urology,Pulmonology;Urology;Radiology;Oncology;Psychiatry;Dermatology;General Medicine;Endocrinology;Nephrology;Gastroenterology,+91-8819415682,www.gudibandehealth80.com
HSP0045,Pandavapura Neurology Center 7,Trust,Taluk Hospital,Karnataka,Mandya,Pandavapura,15.290413,77.898982,295,18,28,3,Yes,0,Neurology,Dermatology;Neurology;Endocrinology;ENT;Urology;General Medicine;OBG;Radiology;Gastroenterology,+91-9357978997,www.pandavapurahealth38.com
HSP0046,Bangarpet Pediatrics Center 56,Trust,PHC,Karnataka,Kolar,Bangarpet,12.141687,76.012926,71,10,22,3,No,3,Pediatrics,Ophthalmology;ENT;Dermatology;Radiology;Pulmonology;Urology;Pediatrics;Psychiatry;Nephrology;Endocrinology,+91-8268647524,www.bangarpethealth8.com
HSP0047,Holenarasipura Psychiatry Center 146,Government,CHC,Karnataka,Hassan,Holenarasipura,13.926924,75.119624,159,11,20,3,No,5,Psychiatry,Nephrology;Psychiatry;Dermatology;Pediatrics;ENT;Cardiology;Gastroenterology;Orthopedics,+91-8403473878,www.holenarasipurahealth2.com
HSP0048,Pandavapura Orthopedics Center 153,Government,Multi-specialty Hospital,Karnataka,Mandya,Pandavapura,14.192816,75.901218,230,19,16,5,No,5,Orthopedics,Nephrology;Radiology;Orthopedics;General Surgery;Oncology;Psychiatry;Neurology;ENT,+91-9387703978,www.pandavapurahealth12.com
HSP0049,Malavalli General Medicine Center 12,Private,CHC,Karnataka,Mandya,Malavalli,12.512071,76.664639,112,2,40,6,Yes,3,General Medicine,General Surgery;Nephrology;General Medicine;Endocrinology;Ophthalmology,+91-7517126285,www.malavallihealth53.com
HSP0050,Bagepalli Nephrology Center 215,Private,Taluk Hospital,Karnataka,Chikkaballapur,Bagepalli,12.717364,76.590718,220,14,21,10,No,0,Nephrology,Neurology;Cardiology;Dermatology;Nephrology;Ophthalmology;General Surgery;Radiology;Oncology;Endocrinology,+91-9317729017,www.bagepallihealth3.com
HSP0051,Srirangapatna Cardiology Center 147,Private,CHC,Karnataka,Mandya,Srirangapatna,14.374566,78.086533,64,12,18,7,Yes,0,Cardiology,Gastroenterology;Oncology;Pediatrics;Nephrology;Cardiology;Radiology,+91-8119306484,www.srirangapatnahealth12.com
HSP0052,Holenarasipura Ophthalmology Center 228,Government,Multi-specialty Hospital,Karnataka,Hassan,Holenarasipura,15.517161,76.392947,118,8,2,10,No,5,Ophthalmology,Pulmonology;Endocrinology;Psychiatry;Urology;Dermatology;OBG;Cardiology;Pediatrics;Gastroenterology;Orthopedics;ENT;Ophthalmology,+91-7876624004,www.holenarasipurahealth71.com
HSP0053,Belur Pediatrics Center 179,Private,Private Nursing Home,Karnataka,Hassan,Belur,14.788062,77.554548,212,11,28,5,No,0,Pediatrics,Pediatrics;Orthopedics;Oncology;Psychiatry;General Surgery;Urology;Neurology,+91-8482999353,www.belurhealth55.com
HSP0054,Pandavapura Orthopedics Center 124,Private,Multi-specialty Hospital,Karnataka,Mandya,Pandavapura,13.407301,76.263552,63,11,1,8,No,5,Orthopedics,Endocrinology;General Surgery;ENT;Radiology;Dermatology;Ophthalmology;Nephrology;Neurology;General Medicine;OBG;Oncology;Orthopedics,+91-7674804994,www.pandavapurahealth56.com
HSP0055,Kolar Taluk General Surgery Center 259,Private,Private Nursing Home,Karnataka,Kolar,Kolar Taluk,13.648567,76.086463,108,3,1,3,Yes,0,General Surgery,General Surgery;Pulmonology;General Medicine;Endocrinology;Neurology;OBG;Pediatrics;Oncology;Nephrology;Gastroenterology;Cardiology,+91-7544476003,www.kolartalukhealth52.com
HSP0056,Sakleshpur Ophthalmology Center 60,Private,Taluk Hospital,Karnataka,Hassan,Sakleshpur,15.168907,75.722345,83,12,6,7,Yes,5,Ophthalmology,Pulmonology;Dermatology;Oncology;Ophthalmology;Endocrinology;Pediatrics,+91-9293427461,www.sakleshpurhealth69.com
HSP0057,Srirangapatna Cardiology Center 165,Private,PHC,Karnataka,Mandya,Srirangapatna,14.678893,75.657791,117,1,9,7,No,0,Cardiology,Nephrology;General Surgery;Oncology;Pediatrics;Radiology;Endocrinology;Cardiology;Dermatology,+91-9557440460,www.srirangapatnahealth25.com
HSP0058,Nyamathi Pediatrics Center 255,Private,Taluk Hospital,Karnataka,Davangere,Nyamathi,12.286536,78.392642,99,9,9,1,Yes,4,Pediatrics,General Medicine;General Surgery;Pulmonology;Pediatrics;Urology;OBG,+91-7147911632,www.nyamathihealth85.com
HSP0059,Maddur General Surgery Center 69,Trust,CHC,Karnataka,Mandya,Maddur,13.693,75.525935,53,16,5,9,No,2,General Surgery,General Surgery;Dermatology;Gastroenterology;Nephrology;Urology,+91-7310063277,www.maddurhealth68.com
HSP0060,Maddur Neurology Center 10,Government,CHC,Karnataka,Mandya,Maddur,13.145419,75.439287,91,12,1,4,No,1,Neurology,Urology;OBG;ENT;Endocrinology;Neurology;Pediatrics;Pulmonology;Psychiatry;General Medicine;Orthopedics,+91-8100204453,www.maddurhealth16.com
HSP0061,Holenarasipura Pediatrics Center 93,Government,Taluk Hospital,Karnataka,Hassan,Holenarasipura,15.249156,77.206904,232,15,5,0,Yes,3,Pediatrics,Oncology;Gastroenterology;General Surgery;Psychiatry;Dermatology;OBG;Radiology;Pediatrics,+91-9862577604,www.holenarasipurahealth71.com
HSP0062,Malur Orthopedics Center 155,Trust,Private Nursing Home,Karnataka,Kolar,Malur,14.747079,76.197483,44,15,35,8,Yes,0,Orthopedics,Pediatrics;Pulmonology;Oncology;Ophthalmology;Radiology;Endocrinology;ENT;Cardiology;Nephrology;Psychiatry;Orthopedics;OBG,+91-7735366836,www.malurhealth79.com
HSP0063,Mulbagal General Surgery Center 159,Government,Multi-specialty Hospital,Karnataka,Kolar,Mulbagal,12.639484,77.261084,21,13,29,2,No,3,General Surgery,Pulmonology;Orthopedics;General Medicine;Ophthalmology;Dermatology;Gastroenterology;Radiology;Neurology;General Surgery;Nephrology,+91-7195364543,www.mulbagalhealth87.com
HSP0064,Gudibande Cardiology Center 6,Government,CHC,Karnataka,Chikkaballapur,Gudibande,14.682876,75.857252,215,17,17,0,Yes,5,Cardiology,Gastroenterology;Urology;Neurology;General Medicine;Psychiatry;Orthopedics;Cardiology;Pulmonology;Nephrology;Pediatrics,+91-8735165143,www.gudibandehealth93.com
HSP0065,Malur ENT Center 37,Trust,Multi-specialty Hospital,Karnataka,Kolar,Malur,13.18355,77.395513,131,16,1,1,Yes,4,ENT,Urology;Psychiatry;Gastroenterology;General Surgery;OBG;Endocrinology;ENT;Pediatrics;Orthopedics;Oncology;Neurology,+91-9349361619,www.malurhealth41.com
HSP0066,Malavalli Pulmonology Center 244,Private,PHC,Karnataka,Mandya,Malavalli,13.654297,78.294866,91,12,8,10,Yes,4,Pulmonology,General Surgery;Gastroenterology;Pediatrics;Pulmonology;OBG;Cardiology;Psychiatry;ENT;Oncology,+91-9546140195,www.malavallihealth89.com
HSP0067,Belur Dermatology Center 249,Private,Taluk Hospital,Karnataka,Hassan,Belur,14.552094,75.68544,262,7,19,9,No,3,Dermatology,Gastroenterology;Neurology;Nephrology;General Medicine;Urology;Endocrinology;Cardiology;Dermatology,+91-8132872355,www.belurhealth99.com
HSP0068,Malavalli Radiology Center 242,Trust,CHC,Karnataka,Mandya,Malavalli,12.551989,75.319714,93,20,9,4,No,2,Radiology,General Medicine;OBG;Nephrology;Orthopedics;Radiology;Dermatology;Cardiology;Ophthalmology,+91-8915067809,www.malavallihealth13.com
HSP0069,Gudibande Endocrinology Center 32,Trust,PHC,Karnataka,Chikkaballapur,Gudibande,12.414636,75.341084,76,11,0,9,Yes,2,Endocrinology,General Medicine;Dermatology;Nephrology;Neurology;Urology;Pulmonology;Cardiology;Oncology;Endocrinology;Pediatrics;Psychiatry,+91-9134056650,www.gudibandehealth80.com
HSP0070,Nyamathi Neurology Center 86,Government,CHC,Karnataka,Davangere,Nyamathi,15.160877,76.208735,80,7,22,6,No,3,Neurology,Neurology;Dermatology;Orthopedics;Pulmonology;General Surgery;Radiology;OBG,+91-7573510333,www.nyamathihealth7.com
HSP0071,Nyamathi Endocrinology Center 86,Government,CHC,Karnataka,Davangere,Nyamathi,13.991226,77.014908,168,18,7,8,Yes,3,Endocrinology,Neurology;Nephrology;Gastroenterology;Pediatrics;General Medicine;Endocrinology;Cardiology;General Surgery;Urology;ENT;Oncology;Orthopedics,+91-7869090751,www.nyamathihealth73.com
HSP0072,Chintamani Psychiatry Center 229,Government,PHC,Karnataka,Chikkaballapur,Chintamani,13.686671,75.283306,60,3,29,4,Yes,0,Psychiatry,Psychiatry;General Surgery;Cardiology;Endocrinology;General Medicine;Urology;Orthopedics;Dermatology;Radiology;OBG;ENT;Neurology,+91-8541800869,www.chintamanihealth49.com
HSP0073,Harihara Nephrology Center 36,Private,Multi-specialty Hospital,Karnataka,Davangere,Harihara,14.005342,76.366191,177,9,18,4,No,1,Nephrology,Radiology;Neurology;Nephrology;ENT;Cardiology;Pediatrics;Psychiatry;Endocrinology;OBG;Oncology;Dermatology;General Surgery,+91-7154205810,www.hariharahealth47.com
HSP0074,Gowribidanur Gastroenterology Center 63,Private,PHC,Karnataka,Chikkaballapur,Gowribidanur,12.744389,75.195499,210,9,30,4,No,0,Gastroenterology,Endocrinology;Ophthalmology;Gastroenterology;Dermatology;OBG;Pulmonology;General Medicine;Radiology;Urology;Cardiology;Neurology;General Surgery,+91-7199002404,www.gowribidanurhealth94.com
HSP0075,Arsikere Endocrinology Center 28,Private,CHC,Karnataka,Hassan,Arsikere,13.153154,77.411582,90,14,17,7,Yes,2,Endocrinology,Endocrinology;Nephrology;Dermatology;General Surgery;ENT;Oncology;Psychiatry,+91-7336969789,www.arsikerehealth68.com
HSP0076,Holenarasipura Endocrinology Center 24,Trust,Taluk Hospital,Karnataka,Hassan,Holenarasipura,14.723912,76.908108,65,0,30,0,Yes,5,Endocrinology,Orthopedics;Urology;Pediatrics;Ophthalmology;Endocrinology;Pulmonology;Neurology;ENT,+91-7482557380,www.holenarasipurahealth18.com
HSP0077,Maddur OBG Center 142,Government,CHC,Karnataka,Mandya,Maddur,13.71651,78.48874,126,12,8,3,No,0,OBG,OBG;Dermatology;Oncology;Orthopedics;Neurology,+91-8812460684,www.maddurhealth55.com
HSP0078,Bagepalli Ophthalmology Center 4,Government,CHC,Karnataka,Chikkaballapur,Bagepalli,14.491394,78.497841,205,3,12,6,Yes,1,Ophthalmology,General Surgery;Endocrinology;Orthopedics;Dermatology;Ophthalmology;Urology;Neurology;Oncology;ENT;Psychiatry,+91-9179039538,www.bagepallihealth36.com
HSP0079,Holenarasipura Radiology Center 175,Government,PHC,Karnataka,Hassan,Holenarasipura,12.499541,75.27723,171,12,0,10,No,3,Radiology,Urology;Psychiatry;Gastroenterology;Pulmonology;General Medicine;Radiology;Pediatrics;OBG;Endocrinology;Oncology;Neurology,+91-9892170126,www.holenarasipurahealth40.com
HSP0080,Belur Neurology Center 256,Government,PHC,Karnataka,Hassan,Belur,12.076226,76.885047,177,11,11,5,Yes,3,Neurology,Oncology;Nephrology;Neurology;Urology;Gastroenterology;Ophthalmology;Psychiatry;General Medicine,+91-7010669624,www.belurhealth61.com
HSP0081,Bangarpet Oncology Center 226,Private,CHC,Karnataka,Kolar,Bangarpet,12.172576,76.610123,229,10,5,3,Yes,2,Oncology,ENT;Urology;Pulmonology;Dermatology;Radiology;Cardiology;Oncology,+91-9875086665,www.bangarpethealth17.com
HSP0082,Chintamani General Medicine Center 26,Trust,PHC,Karnataka,Chikkaballapur,Chintamani,14.529968,78.285098,277,15,33,4,Yes,1,General Medicine,Urology;Endocrinology;General Medicine;Pediatrics;Radiology;Oncology,+91-8217797350,www.chintamanihealth92.com
HSP0083,Nyamathi Gastroenterology Center 263,Government,Multi-specialty Hospital,Karnataka,Davangere,Nyamathi,14.492862,76.028314,197,14,19,3,Yes,0,Gastroenterology,Oncology;Nephrology;General Surgery;Dermatology;Gastroenterology;Urology;Radiology;General Medicine;Cardiology,+91-7991185096,www.nyamathihealth70.com
HSP0084,Malavalli Dermatology Center 175,Private,Multi-specialty Hospital,Karnataka,Mandya,Malavalli,13.821693,76.815492,58,0,0,1,No,2,Dermatology,OBG;Psychiatry;Orthopedics;General Surgery;Cardiology;Endocrinology;Dermatology;Oncology;Ophthalmology;Pulmonology;General Medicine;Radiology,+91-8644217032,www.malavallihealth50.com
HSP0085,Bagepalli Psychiatry Center 256,Trust,PHC,Karnataka,Chikkaballapur,Bagepalli,13.569945,76.448001,292,12,6,10,Yes,0,Psychiatry,General Medicine;Gastroenterology;Urology;Pulmonology;OBG;Cardiology;Oncology;Ophthalmology;Psychiatry;General Surgery;Orthopedics,+91-9884738618,www.bagepallihealth95.com
HSP0086,Nyamathi ENT Center 158,Private,Multi-specialty Hospital,Karnataka,Davangere,Nyamathi,12.980336,75.668817,28,6,12,8,No,4,ENT,Psychiatry;Urology;Cardiology;Neurology;Pulmonology;ENT;Nephrology,+91-9736645344,www.nyamathihealth68.com
HSP0087,Arsikere Endocrinology Center 272,Trust,PHC,Karnataka,Hassan,Arsikere,12.376795,75.962238,73,17,34,6,Yes,5,Endocrinology,Nephrology;Oncology;Ophthalmology;OBG;Endocrinology;Pulmonology;Neurology,+91-9180713301,www.arsikerehealth21.com
HSP0088,Gowribidanur General Surgery Center 48,Trust,Private Nursing Home,Karnataka,Chikkaballapur,Gowribidanur,14.85329,78.245406,62,17,5,4,No,5,General Surgery,Cardiology;Urology;Ophthalmology;Psychiatry;General Surgery;Orthopedics;General Medicine;Pulmonology;Endocrinology,+91-9679949864,www.gowribidanurhealth56.com
HSP0089,Malavalli Ophthalmology Center 269,Trust,PHC,Karnataka,Mandya,Malavalli,15.521286,75.272488,193,8,24,2,Yes,2,Ophthalmology,General Surgery;Pediatrics;Dermatology;Pulmonology;Ophthalmology,+91-7871543370,www.malavallihealth51.com
HSP0090,Sakleshpur Pulmonology Center 212,Private,Taluk Hospital,Karnataka,Hassan,Sakleshpur,14.404898,75.524962,287,1,35,3,No,4,Pulmonology,Urology;Oncology;ENT;OBG;Neurology;Gastroenterology;Radiology;Nephrology;Pediatrics;Pulmonology;Cardiology;Dermatology,+91-9387505668,www.sakleshpurhealth84.com
HSP0091,Harihara Radiology Center 186,Trust,Multi-specialty Hospital,Karnataka,Davangere,Harihara,15.113699,78.048219,27,2,28,8,No,4,Radiology,Pediatrics;Ophthalmology;Gastroenterology;ENT;General Surgery;Pulmonology;Endocrinology;Neurology;General Medicine;Nephrology;Orthopedics;Radiology,+91-7883896128,www.hariharahealth13.com
